track_id,track_name,artist_name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_seg,genre,positividad
5EK3qwLEUKOBmrNpiRrvLy,La Rosa,Ciro y los Persas,36,0.571,0.643,0,-7.7,1,0.0335,0.205,0.0,0.0624,0.636,92.814,281.344,0,0.22147892272057254
6RbrLyE5FXwlhXRXq9tTAy,Atún,Ciro y los Persas,34,0.608,0.883,0,-5.731,1,0.0592,0.207,1.96e-06,0.152,0.888,167.974,263.765,0,0.0
7w8Nnz4s4p4ClF7jFgIZpM,Similar,Ciro y los Persas,41,0.496,0.852,2,-5.407,1,0.0428,0.00793,0.0,0.0572,0.561,155.001,197.336,0,0.0
0aEs6QBHOX3oQQOPpAbTHA,Hoy Te Vas,Ciro y los Persas,27,0.388,0.435,7,-8.833,1,0.0503,0.229,0.0,0.0807,0.23,169.766,365.75,0,0.1694524947811811
2HfqJOuaBhSVxbX8TK3Bsn,5 Bestias,Ciro y los Persas,25,0.57,0.868,9,-5.738,1,0.0329,0.018,0.0,0.0811,0.563,139.989,266.603,0,0.33726265711547465
1ONDiqPNWJXdmKQAfIzdbE,Little Red Rooster,Ciro y los Persas,23,0.528,0.616,7,-8.392,1,0.0297,0.0304,0.00083,0.119,0.585,85.731,293.04,0,0.21594071153343045
2R7RZiSDkAgdLnjeQgKIkP,Babilonia,Ciro y los Persas,30,0.259,0.942,1,-8.948,0,0.192,0.0178,3.98e-05,0.867,0.6,167.481,156.793,0,0.0
4FS1po8KjphBxNmvGZkoql,Como Alí,Ciro y los Persas,45,0.464,0.964,5,-7.362,1,0.121,0.00882,0.000245,0.981,0.639,155.978,210.859,0,0.0
4ahv1lTTfR3tJu1trhOZao,Genius,Ciro y los Persas,20,0.535,0.822,9,-6.757,1,0.0505,0.0357,8.85e-05,0.861,0.402,136.033,259.413,0,0.0
2DBOHnhCQclxMobIgo6Dvv,Insisto,Ciro y los Persas,37,0.602,0.784,9,-7.309,1,0.0349,0.0706,1.91e-05,0.833,0.651,125.009,270.08,0,0.0
4ZMSUZDLD2XouJltYPJWnZ,Quemado,Ciro y los Persas,15,0.394,0.511,2,-10.444,1,0.031,0.196,0.000165,0.7,0.189,185.878,500.053,0,0.0
1282iwfGS2eA0u81exYQFs,Tango del Diablo,Ciro y los Persas,14,0.497,0.511,9,-10.079,1,0.0645,0.783,0.0,0.94,0.437,114.912,249.515,0,0.0
5AAFE2O8btdZYym4jaO8lk,El Farolito,Ciro y los Persas,26,0.422,0.921,8,-8.586,1,0.191,0.0272,0.00067,0.919,0.364,149.735,547.413,0,0.1694524947811811
6VeDyMhky3csClQ1jABaCB,Banda de Garage - Antes - Ferro 2014 en Vivo,Ciro y los Persas,24,0.419,0.943,4,-3.738,1,0.0603,0.00591,0.000164,0.971,0.472,132.22,266.787,0,0.0
5euejcmdpeIsMqgbSi0h3u,Arco - Antes - Ferro 2014 en Vivo,Ciro y los Persas,24,0.236,0.932,9,-3.431,1,0.0605,0.00187,0.0153,0.976,0.396,167.809,273.32,0,0.0
0EZbrVwPjjTHlzdrjTOMHn,Curtite - Antes - Ferro 2014 en Vivo,Ciro y los Persas,20,0.522,0.887,6,-3.135,1,0.041,0.419,1.74e-05,0.519,0.52,149.958,255.6,0,0.0
18XQs0emfB547TLeWVduFy,Antes y Después - Antes - Ferro 2014 en Vivo,Ciro y los Persas,28,0.278,0.909,9,-5.003,1,0.0765,0.00567,0.0635,0.911,0.189,151.974,464.173,0,0.0
6L6QgX3Ebaf97wxtM7iJBA,Tan Solo - Antes - Ferro 2014 en Vivo,Ciro y los Persas,36,0.342,0.895,0,-4.571,1,0.0471,0.204,0.00245,0.72,0.416,103.682,414.84,0,0.0
5Pux01rU0Sp695ZhlokOvZ,Ciudad Animal - Antes - Ferro 2014 en Vivo,Ciro y los Persas,22,0.391,0.93,2,-4.451,1,0.098,0.242,0.000401,0.947,0.373,139.752,320.827,0,0.0
2TwJsrzAC78ac60EuoXcur,Caminando - Antes - Ferro 2014 en Vivo,Ciro y los Persas,24,0.603,0.952,4,-3.437,0,0.0581,0.114,2.2e-06,0.985,0.534,111.992,297.373,0,0.0
4wV8pkntebnBG0vCtkzWit,Chucu- chu - Antes - Ferro 2014 en Vivo,Ciro y los Persas,20,0.603,0.959,0,-4.246,1,0.0345,0.0491,0.000861,0.944,0.672,131.944,223.827,0,0.24903075033543567
4rEy65MFapApCbIfnHU2BS,Blues de la Ventana - Antes - Ferro 2014 en Vivo,Ciro y los Persas,18,0.28,0.687,0,-4.332,1,0.0388,0.4,1.82e-05,0.792,0.243,175.32,264.507,0,0.0
6789O7DW6ShMw366SKQ5PC,Loving Cup - Antes - Ferro 2014 en Vivo,Ciro y los Persas,16,0.42,0.834,0,-3.934,1,0.0377,0.103,0.0248,0.94,0.469,153.343,255.813,0,0.2588605298829428
3HtQDcZba1qCrEhTUrhZeI,Servidor - Antes - Ferro 2014 en Vivo,Ciro y los Persas,21,0.574,0.943,5,-4.062,1,0.108,0.0517,0.023,0.928,0.63,98.162,501.373,0,0.0
6Tub70hpl7y8UKVUqPWdqp,Vas a Bailar - Antes - Ferro 2014 en Vivo,Ciro y los Persas,26,0.664,0.884,7,-4.753,1,0.0334,0.425,4.35e-05,0.767,0.388,115.967,296.933,0,0.0
20abWvLu45ZLK8L3PfUfNR,Pistolas - Antes - Ferro 2014 en Vivo,Ciro y los Persas,27,0.562,0.987,11,-3.289,0,0.102,0.119,1.5e-06,0.718,0.506,141.557,235.16,0,0.0
3JePzx6he6VVDCCaMyt9by,Zapatos de Gamuza Azul - Antes - Ferro 2014 en Vivo,Ciro y los Persas,18,0.347,0.968,0,-3.828,1,0.137,0.136,0.23,0.76,0.527,203.156,242.707,0,0.0
4Otj3JylNyH3ov9wIG5DwS,Pacífico - Antes - Ferro 2014 en Vivo,Ciro y los Persas,40,0.307,0.909,9,-4.477,1,0.0608,0.161,0.0,0.87,0.198,147.979,289.187,0,0.20064437785879163
5HcpWgPZEip7R3VXKe12y9,Astros - Antes - Ferro 2014 en Vivo,Ciro y los Persas,31,0.475,0.898,0,-4.257,1,0.0437,0.0225,0.000169,0.912,0.41,148.027,259.68,0,0.0
7xengx60pCVwByvfRYXBE0,Antes y Después - Después - Ferro 2014 en Vivo,Ciro y los Persas,26,0.348,0.919,9,-4.428,1,0.0452,0.00233,0.000122,0.732,0.267,153.96,373.173,0,0.0
7MJY6TBfLo2dRQ3lLhqG9i,Barón Rojo - Después - Ferro 2014 en Vivo,Ciro y los Persas,22,0.437,0.965,7,-3.86,1,0.0581,0.0254,0.00111,0.937,0.351,141.212,294.053,0,0.295836450140423
4gf7TmM2Rak425p50F365t,Los Mocosos - Después - Ferro 2014 en Vivo,Ciro y los Persas,22,0.282,0.915,10,-3.993,1,0.0665,0.0658,0.000634,0.968,0.308,153.892,287.093,0,0.22655531805853424
4tMrTQWPLtf39TEbfkP4QB,Tal Vez - Después - Ferro 2014 en Vivo,Ciro y los Persas,19,0.567,0.7,9,-4.843,1,0.027,0.496,1.61e-05,0.896,0.087,108.065,314.293,0,0.0
5UjvSilAvWg1XPFbC6M0C7,Me Gusta - Después - Ferro 2014 en Vivo,Ciro y los Persas,24,0.532,0.956,2,-3.68,1,0.0554,0.0836,0.000745,0.793,0.502,131.851,291.773,0,0.0
0qDrnzi3Kw9dSLbjWiPA4F,Héroes de Malvinas - Después - Ferro 2014 en Vivo,Ciro y los Persas,22,0.424,0.831,4,-4.536,1,0.0606,0.443,0.0,0.874,0.63,133.935,266.213,0,0.0
1J7WPVsBWR5PRpcf2wSjU3,Ciudad Animal - Después - Ferro 2014 en Vivo,Ciro y los Persas,19,0.292,0.97,2,-3.182,1,0.306,0.387,5.67e-05,0.714,0.274,139.809,317.027,0,0.0
3KmlfpYfV0YzdJvgmbp7zt,Ruleta - Después - Ferro 2014 en Vivo,Ciro y los Persas,35,0.47,0.941,9,-4.049,1,0.0591,0.0198,0.00256,0.896,0.382,130.017,257.533,0,0.21594071153343045
15m8nqQEdDlSJMwtFI8Bod,Mírenla - Después - Ferro 2014 en Vivo,Ciro y los Persas,23,0.432,0.881,9,-3.288,1,0.0503,0.103,0.00164,0.729,0.52,80.454,272.0,0,0.0
